Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3),neuron_type,muscle_type,muscle_group,specific_muscle
720575941476080948,WTCT,"innervates left side of body,innervates wing",GABA,0.62,,,wing,wing_tension,efferent,motor,wing_motor_neuron,wing_tension_motor_neuron,16B,left_anterior_dorsal_mesothoracic_nerve,left,tp2,tp2,,,,MN,wing_general,wing,unknown
720575941479034563,WTCT,"innervates right side of body,innervates wing",GABA,0.47,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,03B,right_posterior_dorsal_mesothoracic_nerve,right,DLM1-4,DLM1-4,,,,MN,power,DLM,DLM1
720575941479658831,WTCT.UNASSIGNED,"innervates right side of body,innervates wing",GABA,0.5,glutamate,,wing,"phasic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,right_anterior_dorsal_mesothoracic_nerve,right,hg2,"hg2,iv2",,,,MN,steering,haltere,hg2
720575941483845954,WTCT,"innervates left side of body,innervates wing",GABA,0.37,glutamate,,wing,"phasic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,left_anterior_dorsal_mesothoracic_nerve,left,hg3,"hg3,iv3",,,,MN,steering,haltere,hg3
720575941487139138,WTCT,"innervates right side of body,innervates wing",,,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,03B,right_posterior_dorsal_mesothoracic_nerve,right,DVM3a-b,DVM3a-b,,,,MN,power,DVM,DVM3A
720575941489673420,WTCT,"innervates left side of body,innervates wing",GABA,0.4,,,wing,"phasic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,,left_mesothoracic_accessory_nerve,left,iii1,iii1,,,,MN,steering,axillary_III,iii1
720575941499558369,WTCT,"innervates right side of body,innervates wing",GABA,0.42,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,,right_posterior_dorsal_mesothoracic_nerve,right,DVM3a-b,DVM3a-b,,,,MN,power,DVM,DVM3A
720575941501027819,WTCT,"innervates left side of body,innervates wing",GABA,0.43,glutamate,,wing,wing_tension,efferent,motor,wing_motor_neuron,wing_tension_motor_neuron,08A,left_mesothoracic_accessory_nerve,left,ps2,ps2,,,,MN,wing_general,wing,unknown
720575941507955269,WTCT,"innervates left side of body,innervates wing",GABA,0.37,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,03B,left_posterior_dorsal_mesothoracic_nerve,left,DLM1-4,DLM1-4,,,,MN,power,DLM,DLM1
720575941513173763,WTCT,"innervates right side of body,innervates wing",GABA,0.57,,,wing,"tonic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,03B,right_mesothoracic_accessory_nerve,right,hg4,"hg4,iv4",,,,MN,steering,haltere,hg4
720575941516770670,WTCT,"innervates right side of body,innervates wing",GABA,0.46,,,wing,"phasic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,,right_mesothoracic_accessory_nerve,right,iii4,iii4,,,,MN,steering,axillary_III,iii4
720575941519783640,WTCT,"innervates left side of body,innervates wing",GABA,0.46,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,03B,left_posterior_dorsal_mesothoracic_nerve,left,DLM1-4,DLM1-4,,,,MN,power,DLM,DLM1
720575941521196211,WTCT,"innervates left side of body,innervates wing",OCT,0.35,glutamate,,wing,"tonic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,left_anterior_dorsal_mesothoracic_nerve,left,b1,b1,,,,MN,steering,basalar,b1
720575941530190027,WTCT,"innervates right side of body,innervates wing",,,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,03B,right_mesothoracic_accessory_nerve,right,DVM2a-b,DVM2a-b,,,,MN,power,DVM,DVM2A
720575941533190337,WTCT,"innervates right side of body,innervates wing",GABA,0.47,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,03B,right_posterior_dorsal_mesothoracic_nerve,right,DLM1-4,DLM1-4,,,,MN,power,DLM,DLM1
720575941534583786,WTCT,"innervates left side of body,innervates wing",GABA,0.39,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,18X,left_posterior_dorsal_mesothoracic_nerve,right,DLM5,DLM5,,,,MN,power,DLM,DLM5
720575941542328837,WTCT,"innervates left side of body,innervates wing",GABA,0.43,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,03B,left_mesothoracic_accessory_nerve,left,DVM2a-b,DVM2a-b,,,,MN,power,DVM,DVM2A
720575941542412805,WTCT,"innervates left side of body,innervates wing",GABA,0.5,glutamate,,wing,"tonic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,left_anterior_dorsal_mesothoracic_nerve,left,b3,b3,,,,MN,steering,basalar,b3
720575941547315060,WTCT,"innervates left side of body,innervates wing",GABA,0.4,glutamate,,wing,"phasic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,left_anterior_dorsal_mesothoracic_nerve,left,i1,i1,,,,MN,steering,axillary_i,i1
720575941547394081,WTCT.INTTCT,"innervates left side of body,innervates wing",GABA,0.58,glutamate,,wing,"tonic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,left_anterior_dorsal_mesothoracic_nerve,left,i2,i2,,,,MN,steering,axillary_i,i2
720575941549822781,WTCT,"innervates right side of body,innervates wing",GABA,0.52,glutamate,,wing,"tonic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,right_anterior_dorsal_mesothoracic_nerve,right,b1,b1,,,,MN,steering,basalar,b1
720575941555120612,WTCT,"innervates right side of body,innervates wing",GABA,0.35,,,wing,wing_tension,efferent,motor,wing_motor_neuron,wing_tension_motor_neuron,,right_mesothoracic_accessory_nerve,right,PSn_u,PSn_u,,,,MN,wing_general,wing,unknown
720575941560383347,WTCT,"innervates left side of body,innervates wing",GABA,0.48,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,16B,left_anterior_dorsal_mesothoracic_nerve,left,DVM1a-c,DVM1a-c,,,,MN,power,DVM,DVM1A
720575941565105206,WTCT,"innervates left side of body,innervates wing",OCT,0.39,glutamate,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,16B,left_anterior_dorsal_mesothoracic_nerve,left,DVM1a-c,DVM1a-c,,,,MN,power,DVM,DVM1A
720575941565378919,HTCT,"innervates left side of body,innervates wing",GABA,0.46,,,wing,"tonic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,,left_mesothoracic_accessory_nerve,left,iii3,iii3,,,,MN,steering,axillary_III,iii3
720575941566847847,WTCT,"innervates left side of body,innervates wing",ACH,0.58,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,16B,left_anterior_dorsal_mesothoracic_nerve,left,DVM1a-c,DVM1a-c,,,,MN,power,DVM,DVM1A
720575941569529458,WTCT,"innervates left side of body,innervates wing",GABA,0.45,,,wing,wing_tension,efferent,motor,wing_motor_neuron,wing_tension_motor_neuron,,left_mesothoracic_accessory_nerve,left,PSn_u,PSn_u,,,,MN,wing_general,wing,unknown
720575941569548402,WTCT,"innervates right side of body,innervates wing",ACH,0.44,,,wing,wing_tension,efferent,motor,wing_motor_neuron,wing_tension_motor_neuron,16B,right_anterior_dorsal_mesothoracic_nerve,right,tp1,tp1,,,,MN,wing_general,wing,unknown
720575941573368719,WTCT.HTCT,"innervates left side of body,innervates wing",,,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,03B,left_mesothoracic_accessory_nerve,left,DVM2a-b,DVM2a-b,,,,MN,power,DVM,DVM2A
720575941580669817,WTCT,"innervates right side of body,innervates wing",GABA,0.46,glutamate,,wing,"phasic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,right_anterior_dorsal_mesothoracic_nerve,right,hg1,"hg1,iv1",,,,MN,steering,haltere,hg1
720575941583644382,WTCT,"innervates right side of body,innervates wing",GABA,0.5,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,03B,right_posterior_dorsal_mesothoracic_nerve,right,DLM1-4,DLM1-4,,,,MN,power,DLM,DLM1
720575941590220684,WTCT,"innervates left side of body,innervates wing",,,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,03B,left_posterior_dorsal_mesothoracic_nerve,left,DVM3a-b,DVM3a-b,,,,MN,power,DVM,DVM3A
720575941596050112,WTCT,"innervates right side of body,innervates wing",GABA,0.32,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,,right_posterior_dorsal_mesothoracic_nerve,left,DLM5,DLM5,,,,MN,power,DLM,DLM5
720575941597267356,WTCT.UNASSIGNED,"innervates right side of body,innervates wing",ACH,0.54,,,wing,wing_tension,efferent,motor,wing_motor_neuron,wing_tension_motor_neuron,16B,right_anterior_dorsal_mesothoracic_nerve,right,tpn,tpn,,,,MN,wing_general,wing,unknown
720575941597489344,WTCT,"innervates right side of body,innervates wing",ACH,0.35,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,16B,right_anterior_dorsal_mesothoracic_nerve,right,DVM1a-c,DVM1a-c,,,,MN,power,DVM,DVM1A
720575941603635190,WTCT,"innervates right side of body,innervates wing",GABA,0.48,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,,right_anterior_dorsal_mesothoracic_nerve,right,DVM1a-c,DVM1a-c,,,,MN,power,DVM,DVM1A
720575941610087498,WTCT.UNASSIGNED,"innervates left side of body,innervates wing",GABA,0.39,glutamate,,wing,wing_tension,efferent,motor,wing_motor_neuron,wing_tension_motor_neuron,16B,left_anterior_dorsal_mesothoracic_nerve,left,tp1,tp1,,,,MN,wing_general,wing,unknown
720575941614289683,WTCT.NO_CONS,"innervates left side of body,innervates wing",OCT,0.48,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,,left_posterior_dorsal_mesothoracic_nerve,left,DVM3a-b,DVM3a-b,,,,MN,power,DVM,DVM3A
720575941624155644,WTCT,"innervates left side of body,innervates wing",GABA,0.52,glutamate,,wing,"phasic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,left_anterior_dorsal_mesothoracic_nerve,left,b2,b2,,,,MN,steering,basalar,b2
720575941624985226,WTCT,"innervates right side of body,innervates wing",ACH,0.43,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,03B,right_mesothoracic_accessory_nerve,right,DVM2a-b,DVM2a-b,,,,MN,power,DVM,DVM2A
720575941629172716,WTCT,"innervates right side of body,innervates wing",GABA,0.62,,,wing,"phasic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,,right_mesothoracic_accessory_nerve,right,iii1,iii1,,,,MN,steering,axillary_III,iii1
720575941630940642,WTCT.HTCT,"innervates left side of body,innervates wing",GABA,0.55,,,wing,"tonic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,03B,left_mesothoracic_accessory_nerve,left,hg4,"hg4,iv4",,,,MN,steering,haltere,hg4
720575941640465439,WTCT,"innervates left side of body,innervates wing",GABA,0.66,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,,left_posterior_dorsal_mesothoracic_nerve,left,DLM1-4,DLM1-4,,,,MN,power,DLM,DLM1
720575941643100754,WTCT,"innervates right side of body,innervates wing",GABA,0.41,,,wing,wing_tension,efferent,motor,wing_motor_neuron,wing_tension_motor_neuron,08A,right_mesothoracic_accessory_nerve,right,ps1,ps1,,,,MN,steering,pleurosternal,ps1
720575941645041313,WTCT,"innervates left side of body,innervates wing",GABA,0.49,,,wing,wing_tension,efferent,motor,wing_motor_neuron,wing_tension_motor_neuron,,left_mesothoracic_accessory_nerve,left,ps1,ps1,,,,MN,steering,pleurosternal,ps1
720575941645403000,WTCT,"innervates left side of body,innervates wing",GABA,0.43,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,03B,left_posterior_dorsal_mesothoracic_nerve,left,DLM1-4,DLM1-4,,,,MN,power,DLM,DLM1
720575941655597785,WTCT,"innervates right side of body,innervates wing",GABA,0.49,glutamate,,wing,"phasic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,right_anterior_dorsal_mesothoracic_nerve,right,b2,b2,,,,MN,steering,basalar,b2
720575941669019635,WTCT.HTCT,"innervates right side of body,innervates wing",OCT,0.59,glutamate,,wing,wing_tension,efferent,motor,wing_motor_neuron,wing_tension_motor_neuron,16B,right_anterior_dorsal_mesothoracic_nerve,right,tp2,tp2,,,,MN,wing_general,wing,unknown
720575941688499212,WTCT,"innervates right side of body,innervates wing",GABA,0.43,glutamate,,wing,wing_tension,efferent,motor,wing_motor_neuron,wing_tension_motor_neuron,08A,right_mesothoracic_accessory_nerve,right,ps2,ps2,,,,MN,wing_general,wing,unknown
720575941732789547,HTCT.WTCT,"innervates left side of body,innervates wing",GABA,0.59,,,wing,"phasic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,left_anterior_dorsal_mesothoracic_nerve,left,hg2,"hg2,iv2",,,,MN,steering,haltere,hg2
