rank,interneuron_id,neuron_name,cluster,suggested_experiments
13,720575941516099500,720575941516099500,4,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
14,720575941489677001,720575941489677001,4,Optogenetic activation (characterize motor output); Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
15,720575941515619939,720575941515619939,4,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
16,720575941412445332,720575941412445332,4,Optogenetic activation (characterize motor output); Test wing beat frequency modulation; Power control characterization
17,720575941490785712,720575941490785712,4,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
18,720575941594160421,720575941594160421,4,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
19,720575941457686512,720575941457686512,4,Optogenetic activation (characterize motor output); Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
20,720575941517770412,720575941517770412,4,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
21,720575941563314486,720575941563314486,4,Optogenetic activation (characterize motor output); Test wing beat frequency modulation; Power control characterization
22,720575941571427323,720575941571427323,4,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
23,720575941449617230,720575941449617230,4,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
24,720575941513160697,720575941513160697,5,Optogenetic activation (characterize motor output); Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
25,720575941551389979,720575941551389979,4,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
26,720575941431072137,720575941431072137,4,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
27,720575941402032240,720575941402032240,4,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
28,720575941457147206,720575941457147206,2,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
29,720575941612696934,720575941612696934,4,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
30,720575941431075503,720575941431075503,4,Optogenetic activation (characterize motor output); Test wing beat frequency modulation; Power control characterization
31,720575941703124698,720575941703124698,4,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Test wing beat frequency modulation; Power control characterization
32,720575941518434227,720575941518434227,4,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
33,720575941670676135,720575941670676135,3,Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
34,720575941464901398,720575941464901398,2,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
35,720575941438938175,720575941438938175,2,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
36,720575941554049307,720575941554049307,4,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
37,720575941477884802,720575941477884802,2,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
38,720575941484663558,720575941484663558,4,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
39,720575941408509867,720575941408509867,4,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
40,720575941512896099,720575941512896099,4,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
41,720575941519213016,720575941519213016,4,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
42,720575941507280965,720575941507280965,4,Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
43,720575941477897346,720575941477897346,4,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Test wing beat frequency modulation; Power control characterization
44,720575941472042282,720575941472042282,4,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
45,720575941470536715,720575941470536715,4,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
46,720575941460235152,720575941460235152,4,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
47,720575941562464866,720575941562464866,4,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
48,720575941530192843,720575941530192843,2,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
49,720575941477553376,720575941477553376,4,Optogenetic activation (characterize motor output); Test wing beat frequency modulation; Power control characterization
50,720575941618008447,720575941618008447,4,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Test wing beat frequency modulation; Power control characterization
